walk,l1,l2,x0
0,112,112.000000,112
1,102,102.000000,-102
2,136,136.000000,-136
3,342,342.000000,-342
4,140,140.000000,140
5,178,178.000000,178
6,18,18.000000,18
7,170,170.000000,-170
8,48,48.000000,-48
9,38,38.000000,38
10,8,8.000000,-8
11,100,100.000000,100
12,2,2.000000,2
13,46,46.000000,46
14,104,104.000000,104
15,16,16.000000,16
16,58,58.000000,58
17,6,6.000000,6
18,228,228.000000,228
19,76,76.000000,-76
20,72,72.000000,72
21,8,8.000000,8
22,184,184.000000,184
23,20,20.000000,20
24,154,154.000000,-154
25,84,84.000000,84
26,102,102.000000,-102
27,56,56.000000,56
28,68,68.000000,-68
29,22,22.000000,22
30,128,128.000000,128
31,46,46.000000,46
32,28,28.000000,-28
33,64,64.000000,-64
34,158,158.000000,-158
35,84,84.000000,84
36,38,38.000000,38
37,58,58.000000,58
38,12,12.000000,12
39,158,158.000000,158
40,54,54.000000,-54
41,38,38.000000,38
42,186,186.000000,-186
43,160,160.000000,-160
44,74,74.000000,-74
45,108,108.000000,108
46,22,22.000000,-22
47,138,138.000000,138
48,32,32.000000,32
49,26,26.000000,26
50,50,50.000000,50
51,14,14.000000,14
52,86,86.000000,86
53,124,124.000000,-124
54,20,20.000000,20
55,104,104.000000,-104
56,126,126.000000,-126
57,58,58.000000,-58
58,98,98.000000,98
59,108,108.000000,108
60,56,56.000000,56
61,108,108.000000,108
62,204,204.000000,-204
63,72,72.000000,72
64,8,8.000000,-8
65,112,112.000000,112
66,32,32.000000,32
67,58,58.000000,58
68,56,56.000000,56
69,64,64.000000,64
70,46,46.000000,46
71,102,102.000000,-102
72,16,16.000000,-16
73,98,98.000000,98
74,108,108.000000,108
75,160,160.000000,160
76,164,164.000000,-164
77,10,10.000000,10
78,52,52.000000,52
79,166,166.000000,-166
80,40,40.000000,-40
81,6,6.000000,-6
82,168,168.000000,168
83,128,128.000000,-128
84,8,8.000000,-8
85,40,40.000000,-40
86,34,34.000000,-34
87,264,264.000000,-264
88,130,130.000000,130
89,8,8.000000,8
90,32,32.000000,32
91,60,60.000000,60
92,0,0.000000,0
93,110,110.000000,-110
94,92,92.000000,-92
95,2,2.000000,2
96,10,10.000000,10
