walk,l1,l2,x0,x1
0,302,266.720828,-38,264
1,624,464.215467,-414,-210
2,544,400.169964,-350,194
3,540,408.176432,168,372
4,196,148.647233,-136,60
5,930,676.085793,576,354
6,782,672.788228,662,120
7,348,259.383885,-116,-232
8,748,583.355809,-200,-548
9,388,311.294073,-90,-298
10,652,475.394573,244,-408
11,376,362.270617,362,14
12,234,199.649693,-38,196
13,372,332.661991,-42,-330
14,576,425.882613,-200,-376
15,424,393.303954,392,-32
16,740,526.945918,414,-326
17,906,651.303309,-536,-370
18,564,540.533070,24,540
19,1558,1161.862298,-518,1040
20,670,478.016736,290,-380
21,1122,824.623550,-720,402
22,826,585.931737,-446,380
23,568,422.184794,-192,-376
24,282,199.649693,148,134
25,580,432.009259,386,-194
26,422,380.552230,378,-44
27,206,188.859736,18,188
28,248,211.811237,40,208
29,110,86.648716,28,82
30,554,391.760131,-274,-280
31,226,216.231358,-10,-216
32,412,392.509872,20,-392
33,622,470.918252,430,-192
34,480,391.520114,378,102
35,284,284.000000,284,0
36,244,209.475536,206,38
37,262,194.123672,-172,90
38,334,309.095455,-308,26
39,416,408.078424,408,8
40,378,284.541737,-120,-258
41,604,478.138055,-454,-150
42,912,672.148793,322,-590
43,366,281.886502,104,262
44,366,274.641585,-118,248
45,504,362.789195,-300,-204
46,488,345.357785,234,-254
47,422,305.109816,-256,166
48,126,92.282176,-80,46
49,88,88.000000,-88,0
50,310,223.544179,124,-186
51,588,555.042341,-34,554
52,456,368.401954,354,-102
53,252,217.347648,-214,38
54,442,395.175910,-50,-392
55,792,562.337977,-360,-432
56,352,249.158584,-168,-184
57,352,292.027396,-68,284
58,604,563.567210,-562,42
59,802,578.000000,-480,-322
60,204,202.009901,2,-202
61,1372,970.414344,670,702
62,440,354.400903,-100,-340
63,792,614.003257,-574,-218
64,994,705.251728,538,456
65,530,479.053233,-54,476
66,694,666.588329,28,-666
67,256,211.981131,-206,50
68,658,528.337014,-152,-506
69,460,421.900462,-420,40
70,538,408.377277,164,374
71,628,469.595571,-206,-422
72,230,228.008772,-2,228
73,142,122.000000,-22,-120
74,690,515.197050,-228,-462
75,412,346.005780,-338,74
76,258,206.891276,198,-60
77,794,575.378137,486,-308
78,520,387.288007,174,346
79,746,645.442484,-636,-110
80,452,359.254784,-110,342
81,208,175.727061,172,36
82,668,487.056465,-250,-418
83,712,510.098030,-414,-298
84,162,125.936492,-44,118
85,572,480.940745,-470,102
86,1342,1041.201229,974,-368
87,602,488.184391,132,-470
88,668,654.149830,654,14
89,1160,843.141744,442,718
90,478,399.804952,-88,390
91,540,522.310253,-522,-18
92,456,428.914910,-428,-28
93,1082,792.093429,-686,-396
94,780,647.610994,-150,630
95,1032,729.739680,514,518
96,268,241.627813,-28,-240
97,568,405.600789,-244,-324
98,262,232.215417,-32,230
99,224,159.022011,-102,-122
100,240,238.008403,-2,238
101,364,302.218464,70,294
102,240,224.570702,-16,224
103,96,68.818602,-40,56
104,278,272.066168,272,6
105,952,794.204004,178,774
106,228,183.521116,176,-52
107,672,476.596265,362,310
108,454,325.262971,-264,-190
109,600,517.880295,510,-90
110,1104,954.199141,-940,164
111,156,113.877127,-58,-98
112,574,409.238317,-250,324
113,384,337.721779,-334,50
114,922,702.489858,646,276
115,506,456.968270,52,-454
116,338,290.688837,52,-286
117,68,53.141321,50,-18
118,490,349.611213,212,278
119,446,415.234873,414,32
120,226,159.962496,-118,108
121,766,544.444671,-422,344
122,298,231.041122,-216,82
123,600,576.499783,-24,576
124,720,655.536422,652,-68
125,398,332.343196,-74,-324
126,270,236.753036,234,36
127,1592,1252.325836,-408,-1184
128,424,422.004739,422,2
129,250,232.697228,-232,-18
130,192,143.108351,64,128
131,972,778.151656,-228,-744
132,384,271.897039,-182,202
133,414,332.174653,96,318
134,884,625.395875,456,-428
135,308,290.558084,-290,-18
136,678,668.074846,-10,-668
137,800,637.595483,608,-192
138,288,216.517898,92,-196
139,484,356.269561,312,-172
140,440,376.563408,-70,-370
141,1110,798.811617,-450,-660
142,236,169.257201,98,-138
143,586,433.889387,-202,-384
144,150,133.221620,-132,-18
145,204,167.355908,-162,42
146,714,578.013841,-158,556
147,720,587.986394,-152,-568
148,312,224.659743,186,126
149,590,417.597893,-282,-308
150,320,246.981781,90,-230
151,696,564.836259,544,152
152,600,475.613288,452,-148
153,692,521.727898,-218,-474
154,368,260.276776,188,-180
155,208,158.619040,62,146
156,272,266.067661,6,-266
157,316,226.008849,182,-134
158,500,354.468616,232,268
159,712,520.714893,-450,-262
160,714,673.311221,-672,42
161,1050,789.108358,-336,-714
162,596,421.900462,284,-312
163,168,135.440024,130,38
164,338,298.964881,296,42
165,178,127.200629,-76,102
166,184,153.805071,34,-150
167,70,52.801515,48,22
168,1192,893.662129,-806,386
169,388,280.713377,152,236
170,538,397.295860,188,-350
171,176,128.280942,110,-66
172,516,366.715148,-284,-232
173,376,312.409987,72,304
174,246,214.709106,212,-34
175,584,522.187706,66,518
176,762,676.286921,-670,-92
177,202,145.340978,82,120
178,606,458.331758,-418,-188
179,454,423.211531,32,422
180,1450,1028.927597,-786,664
181,734,586.409413,560,174
182,266,188.350737,126,-140
183,1258,916.831500,472,-786
184,314,233.452351,208,-106
185,300,226.433213,-94,206
186,938,670.000000,402,536
187,372,302.760632,-80,-292
188,378,268.126836,-174,204
189,86,70.342022,18,-68
190,596,485.188623,468,-128
191,492,385.849712,128,364
192,462,378.380761,96,-366
193,858,607.424069,450,408
194,280,211.206061,192,-88
195,880,852.459970,-28,852
196,776,557.573314,458,318
197,396,351.294748,348,48
198,474,342.841071,-186,288
199,232,164.048773,116,116
200,102,72.470684,46,56
201,298,220.952484,102,196
202,426,420.042855,-420,-6
203,334,300.166620,-36,-298
204,384,339.411255,48,336
205,820,586.003413,-350,-470
206,198,142.562267,80,-118
207,888,810.160478,-806,82
208,682,555.528577,536,146
209,558,452.747170,-436,-122
210,242,171.125685,-122,120
211,576,408.480110,-266,-310
212,276,211.697898,196,80
213,88,78.638413,78,-10
214,654,487.462819,436,-218
215,980,724.706837,340,-640
216,288,261.503346,-28,-260
217,98,74.323617,68,30
218,206,148.121572,84,122
219,754,538.014870,-326,-428
220,282,248.620192,-246,-36
221,704,696.045975,-696,-8
222,178,139.785550,-46,132
223,1008,715.474668,-548,460
224,244,173.366663,-110,134
225,402,326.098145,-88,314
226,1034,744.969798,-416,618
227,424,367.271017,-362,-62
228,196,139.053946,-90,106
229,554,454.528327,114,440
230,846,658.716935,618,-228
231,302,214.112120,-140,162
232,566,406.177301,-234,-332
233,100,71.610055,-42,-58
234,786,569.859632,482,-304
235,500,421.293247,-88,-412
236,384,276.260746,-156,228
237,632,587.802688,-586,-46
238,538,386.683333,-318,-220
239,176,140.427917,42,-134
240,466,466.000000,-466,0
241,1006,951.649095,950,-56
242,484,342.531750,-232,252
243,626,530.693885,-106,-520
244,278,233.418080,-228,-50
245,302,218.000000,182,120
246,166,125.299641,52,-114
247,298,223.651515,-96,202
248,324,234.093998,196,128
249,320,250.503493,-236,84
250,758,595.197446,562,-196
251,312,302.165518,302,-10
252,1154,816.443507,558,-596
253,472,401.646611,-394,-78
254,482,342.116939,262,-220
255,210,148.660687,100,-110
256,556,394.380527,-300,256
257,302,280.862956,-280,-22
258,380,340.599472,338,42
259,774,596.083887,-554,-220
260,444,314.579084,208,-236
261,666,525.573972,498,-168
262,448,317.804972,-242,206
263,84,80.099938,-4,80
264,510,393.309039,144,-366
265,498,496.004032,2,496
266,460,336.154726,-170,-290
267,90,68.029405,28,62
268,418,307.902582,148,-270
269,700,501.725024,-408,-292
270,346,334.215499,12,-334
271,266,205.766858,-192,-74
272,176,141.760361,136,-40
273,350,330.605505,20,330
274,978,697.633141,424,-554
275,328,282.460617,278,-50
276,720,566.702744,184,536
277,308,238.075618,86,222
278,436,308.933650,-204,232
279,708,539.407082,-212,496
280,276,228.473193,54,-222
281,704,578.217952,560,-144
282,206,152.118375,-134,72
283,424,424.000000,-424,0
284,500,456.324446,-46,454
285,1098,800.901992,-410,-688
286,326,236.381048,-200,-126
287,84,61.773781,-54,30
288,570,478.986430,-468,102
289,880,642.800124,554,326
290,342,322.620520,-322,20
291,738,577.556924,544,-194
292,424,305.640311,254,-170
293,628,468.683262,208,-420
294,480,339.458392,236,244
295,738,546.600402,-254,484
296,1046,757.303110,638,-408
297,438,341.063044,-118,320
298,718,694.414862,-24,694
299,886,686.804193,244,-642
300,776,630.783640,168,-608
301,500,353.960450,-238,262
302,876,621.288983,404,-472
303,586,505.715335,88,498
304,278,256.943574,-256,22
305,258,238.838858,-20,-238
306,134,117.388245,-18,-116
307,576,452.866426,428,148
308,832,622.562447,272,560
309,814,575.878459,-420,394
310,182,135.070352,62,120
311,350,328.736977,-328,-22
312,388,304.867184,-288,100
313,126,93.914855,-42,84
314,972,782.166223,222,-750
315,344,336.095225,336,8
316,906,644.375667,-502,-404
317,546,461.670878,-452,94
318,900,636.622337,-438,462
319,608,598.083606,-10,598
320,284,204.156802,116,-168
321,986,710.033802,588,-398
322,126,120.149906,-6,120
323,412,291.341724,-208,204
324,276,200.997512,-104,172
325,420,339.281594,-94,326
326,490,369.610606,336,-154
327,372,362.138095,-362,10
328,300,247.386338,60,-240
329,768,587.230789,-226,542
330,362,286.503054,-272,90
331,820,603.363903,-528,292
332,740,525.212338,338,402
333,1108,971.341341,-148,-960
334,960,703.278039,610,-350
335,532,383.854139,320,-212
336,840,712.297691,-698,-142
337,256,218.082553,42,-214
338,468,419.237403,52,416
339,528,506.478035,506,-22
340,168,119.096599,78,90
341,372,275.535842,128,244
342,772,550.090902,-338,434
343,980,821.515672,802,-178
344,586,418.401721,334,252
345,560,436.577599,-150,-410
346,526,398.421887,364,-162
347,330,237.966384,-198,132
348,310,267.977611,-46,264
349,818,615.600520,-558,260
350,188,148.000000,140,-48
351,670,524.415866,-494,-176
352,248,196.061215,62,-186
353,738,522.857533,-346,392
354,750,597.745765,180,570
355,618,445.425639,248,370
356,206,181.868084,26,180
357,518,470.663362,-50,468
358,496,367.662889,170,-326
359,418,369.675533,-366,52
360,472,361.386220,334,-138
361,624,442.538134,336,-288
362,296,255.812431,44,-252
363,240,181.747077,166,-74
364,468,331.698658,-218,-250
365,714,633.861184,-86,-628
366,308,290.558084,-18,290
367,728,516.519119,394,-334
368,398,354.992958,46,-352
369,382,372.134384,-10,372
370,872,743.682728,730,142
371,454,322.149034,-246,-208
372,698,545.941389,-184,-514
373,484,350.051425,294,-190
374,184,152.315462,148,-36
375,354,256.320112,216,138
376,1156,826.413940,-664,-492
377,276,195.161472,138,-138
378,256,207.692080,56,-200
379,338,254.094471,230,-108
380,496,351.863610,-228,268
381,92,72.111026,68,24
382,570,445.982062,-420,150
383,524,374.817289,302,-222
384,972,687.889526,-466,-506
385,804,580.220648,-484,-320
386,398,367.396244,-366,32
387,166,119.281180,68,98
388,432,324.776846,-138,294
389,634,499.027053,-472,162
390,470,460.108683,-460,-10
391,752,548.802332,472,280
392,770,606.541013,196,-574
393,458,368.960703,-104,354
394,640,455.095594,286,-354
395,532,455.806977,448,-84
396,382,279.578254,-140,-242
397,54,43.680659,12,-42
398,498,449.021158,52,-446
399,348,261.227870,236,112
400,504,363.890093,200,-304
401,426,328.688302,120,-306
402,224,199.699775,-198,-26
403,640,474.982105,-422,218
404,496,350.724963,-248,-248
405,158,115.602768,-100,58
406,542,422.056868,146,396
407,518,367.722722,236,-282
408,944,747.566719,234,710
409,610,449.323937,-394,216
410,534,428.340986,410,124
411,344,243.244733,-172,-172
412,404,296.445611,146,-258
413,284,208.633650,182,102
414,566,415.523766,204,-362
415,336,251.348364,-110,226
416,1256,893.317413,-696,-560
417,738,528.927216,-308,430
418,500,416.739727,94,-406
419,776,551.920284,430,-346
420,636,463.050753,-396,-240
421,416,309.476978,-276,-140
422,660,466.998929,-318,342
423,312,247.935475,236,76
424,156,112.605506,-94,-62
425,752,577.885802,216,-536
426,382,330.774848,-326,56
427,348,246.089415,-176,-172
428,738,528.927216,430,-308
429,660,470.455099,-372,288
430,244,179.888855,158,-86
431,506,498.064253,-498,-8
432,404,396.080800,8,-396
433,176,133.416641,54,-122
434,620,450.723862,-236,384
435,244,177.019773,-150,94
436,272,192.520129,142,130
437,320,263.878760,64,256
438,420,310.470611,274,146
439,4,4.000000,0,-4
440,356,271.543735,-106,250
441,26,20.880613,-20,6
442,738,621.742712,-608,130
443,474,349.885696,-166,308
444,438,309.870941,226,-212
445,504,373.062997,-330,174
446,292,207.422275,160,132
447,698,513.813196,248,-450
448,246,198.080792,190,-56
449,272,252.792405,-20,252
450,266,248.652368,-248,-18
451,546,437.159010,128,-418
452,534,470.935240,68,466
453,226,164.304595,-86,140
454,634,474.994737,206,-428
455,602,505.667875,-108,494
456,1364,1190.932408,1176,188
457,816,577.560386,-390,-426
458,134,94.847246,64,-70
459,112,87.315520,30,82
460,504,490.199959,-14,490
461,222,159.762323,-132,-90
462,234,196.540072,42,-192
463,944,680.070585,-564,380
464,794,603.751605,-240,-554
465,452,322.415881,-196,256
466,844,661.646431,220,-624
467,152,120.166551,-114,38
468,256,184.173831,104,152
469,82,65.145990,62,-20
470,214,210.038092,-210,-4
471,504,414.738472,402,102
472,570,518.817887,54,-516
473,786,573.149195,492,-294
474,248,194.812731,-64,-184
475,402,339.299278,332,-70
476,434,373.871636,368,-66
477,408,305.941171,132,276
478,518,392.127530,160,358
479,192,139.942845,-72,-120
480,520,397.079337,-366,154
481,416,294.156421,-208,208
482,52,36.769553,-26,26
483,332,265.706605,-254,78
484,114,81.215762,64,-50
485,836,592.283716,-444,392
486,628,494.594784,-468,160
487,448,318.596924,-200,-248
488,780,570.816958,-494,-286
489,434,320.356052,-152,-282
490,454,356.117958,336,118
491,954,721.512301,-658,-296
492,608,530.690117,524,-84
493,758,568.031689,246,512
494,302,288.340077,-14,-288
495,716,524.915231,-456,260
496,430,305.502864,194,-236
497,494,484.103295,-484,-10
498,488,356.033706,182,306
499,428,323.097509,294,134
500,652,468.273424,268,384
501,194,144.899965,130,64
502,352,312.832223,-310,-42
503,310,283.386662,282,-28
504,444,330.938061,-148,-296
505,1010,751.332150,340,-670
506,894,632.724269,466,428
507,374,280.919917,120,-254
508,500,364.954792,-186,-314
509,388,335.058204,-58,330
510,578,422.965720,366,-212
511,766,545.046787,-426,340
512,386,305.476677,96,-290
513,584,421.017814,234,-350
514,248,204.215572,50,-198
515,558,395.904029,302,256
516,758,584.578481,214,544
517,440,325.650119,-152,288
518,684,491.047859,402,-282
519,148,104.651804,74,74
520,858,681.178391,-210,648
521,998,889.595414,116,882
522,264,186.697616,-130,134
523,254,205.766858,198,56
524,718,542.413127,224,494
525,186,184.010869,-184,2
526,302,268.425036,-266,-36
527,336,244.899980,126,-210
528,236,173.666347,-84,152
529,658,465.381564,322,-336
530,244,226.715681,226,-18
531,88,63.245553,-52,36
532,342,242.330353,160,-182
533,510,385.834161,352,-158
534,688,492.016260,-292,396
535,114,86.925255,34,80
536,762,538.832070,378,-384
537,216,174.722637,48,-168
538,254,179.655225,124,130
539,964,685.915447,-536,428
540,376,321.645768,-60,-316
541,276,237.739353,-234,-42
542,226,196.621464,-32,-194
543,532,463.939651,-74,-458
544,1040,866.459462,-196,844
545,330,279.664084,274,56
546,130,101.843016,34,96
547,544,390.128184,318,-226
548,474,336.743226,-260,-214
549,346,336.148777,10,-336
550,136,96.540147,62,74
551,152,128.654576,26,126
552,836,599.373006,-488,-348
553,488,380.872682,130,-358
554,178,142.337627,-136,42
555,572,515.503637,-60,512
556,720,623.082659,-106,-614
557,310,230.763949,-104,-206
558,264,227.543402,224,-40
559,1114,794.090675,-486,628
560,86,63.529521,30,56
561,1222,864.094902,614,608
562,1328,986.602250,878,-450
563,96,68.117545,-44,52
