walk,l1,l2,x0,x1,x2,x3
0,2348,1549.195920,642,-1392,178,136
1,1210,630.875582,-316,316,164,414
2,2174,1193.480624,850,714,-360,-250
3,3622,2220.336011,-584,-1814,-88,1136
4,3662,1886.835446,-1112,818,-588,-1144
5,6052,3111.379115,1342,1958,1016,-1736
6,3836,2276.834645,-1628,-330,-1514,364
7,4694,2788.431100,-2464,-576,780,-874
8,5708,3245.224183,-1872,1836,1910,-90
9,4864,2694.505520,768,-544,-1594,-1958
10,4256,2256.810138,-1036,594,-1644,-982
11,2842,2083.062169,-138,2018,-422,264
12,3316,2275.245921,1968,-222,-6,1120
13,2614,1445.867214,-508,588,-350,1168
14,1624,988.643515,808,512,242,62
15,1872,1073.204547,-664,738,402,68
16,3242,2071.682408,-622,-774,28,1818
17,1808,1060.049055,598,60,-800,-350
18,4214,2234.696400,1450,-1152,-442,1170
19,2392,1275.169008,-414,-732,890,356
20,3116,1848.350616,1382,6,-946,-782
21,3544,1888.705377,878,968,-392,1306
22,4704,2439.454037,752,-1660,-1186,1106
23,5900,3377.764941,-252,2544,-1384,1720
24,3144,1794.041248,-98,904,850,1292
25,2950,1600.993442,-202,966,918,864
26,4202,2207.335951,-742,1602,-1050,-808
27,1492,957.609524,42,-820,-464,-166
28,4444,3173.013709,170,-1130,-2954,-190
29,2706,1582.396916,542,-1256,-122,786
30,2836,1521.480858,1092,-578,-816,350
31,2040,1338.186833,-1224,-206,126,484
32,2236,1404.501335,-208,280,1276,472
33,1744,1226.164752,106,1138,-60,-440
34,2936,1599.477415,-768,598,1220,350
35,6670,3985.422939,-1078,-3542,-832,-1218
36,3106,1985.826780,-312,552,404,-1838
37,1498,1044.423286,-72,-978,-104,344
38,3252,2511.135201,-2464,200,398,-190
39,3502,1984.946347,112,1178,890,-1322
40,3486,2172.255049,784,656,134,1912
41,3098,1788.828667,-482,-1548,-556,512
42,3032,1882.916886,-412,-620,296,-1704
43,3076,2060.972586,244,1826,86,920
44,3440,1988.724214,-110,1406,-1202,-722
45,4070,2451.935562,1428,-376,338,1928
46,2916,1532.929222,1134,566,-562,654
47,4944,2844.029536,-422,2334,908,-1280
48,3620,1999.397909,756,-286,-1186,-1392
49,4876,3007.785897,68,-2514,1360,934
50,868,524.358656,-162,60,-458,-188
51,3394,2059.171678,-1042,-286,-348,-1718
52,3932,2446.386723,362,-562,2216,792
53,4898,2552.467825,-1630,-1504,-740,1024
54,3586,2214.774932,1242,1774,122,-448
55,3390,1942.603408,-102,-1062,1394,-832
56,2692,1496.858043,-1110,516,-238,828
57,2766,1902.883076,-32,168,1670,-896
58,1888,1001.618690,730,496,-382,280
59,2348,1344.589157,-380,-720,-1052,196
60,4738,2522.667636,1098,1792,-1270,-578
61,5288,3202.460304,488,1618,2672,510
62,3210,2059.736876,-1894,220,604,-492
63,3296,2129.632832,270,1978,504,-544
64,3076,1992.656518,-1512,-1282,166,116
65,2940,1543.214826,682,986,-896,-376
66,3610,2011.945327,918,-188,1384,1120
67,3712,2748.282373,-900,96,-124,-2592
68,4362,2645.773233,812,-104,2166,-1280
69,4672,2653.860584,-320,1164,-2096,-1092
70,3176,1788.053690,-1030,-1310,606,-230
71,2056,1284.803487,212,-216,-472,1156
72,4360,3086.937641,-248,2940,-324,-848
