walk,n_minus,n_zero,n_plus,m_over_n
0,698,108,9194,0.9248000000
1,9433,56,511,0.9461000000
2,9966,16,18,0.9974000000
3,9992,4,4,0.9994000000
4,167,51,9782,0.9807500000
5,264,72,9664,0.9700000000
6,5857,48,4095,0.5881000000
7,9923,23,54,0.9934500000
8,9822,72,106,0.9858000000
9,2515,178,7307,0.7396000000
10,5994,177,3829,0.6082500000
11,2739,106,7155,0.7208000000
12,1107,64,8829,0.8861000000
13,1939,56,8005,0.8033000000
14,771,43,9186,0.9207500000
15,861,66,9073,0.9106000000
16,152,27,9821,0.9834500000
17,311,68,9621,0.9655000000
18,906,73,9021,0.9057500000
19,9210,41,749,0.9230500000
20,2270,34,7696,0.7713000000
21,7865,179,1956,0.7954500000
22,523,28,9449,0.9463000000
23,2563,111,7326,0.7381500000
24,9818,21,161,0.9828500000
25,3350,137,6513,0.6581500000
26,9771,35,194,0.9788500000
27,5104,131,4765,0.5169500000
28,8147,95,1758,0.8194500000
29,156,31,9813,0.9828500000
30,6173,143,3684,0.6244500000
31,2898,108,6994,0.7048000000
32,9978,1,21,0.9978500000
33,8777,143,1080,0.8848500000
34,10000,0,0,1.0000000000
35,3772,67,6161,0.6194500000
36,4020,55,5925,0.5952500000
37,2946,116,6938,0.6996000000
38,5163,172,4665,0.5249000000
39,201,34,9765,0.9782000000
40,9341,114,545,0.9398000000
41,3994,158,5848,0.5927000000
42,9664,27,309,0.9677500000
43,9065,57,878,0.9093500000
44,5307,36,4657,0.5325000000
45,336,45,9619,0.9641500000
46,3917,245,5838,0.5960500000
47,143,10,9847,0.9852000000
48,473,85,9442,0.9484500000
49,1,4,9995,0.9997000000
50,1712,129,8159,0.8223500000
51,3756,91,6153,0.6198500000
52,3182,121,6697,0.6757500000
53,9045,85,870,0.9087500000
54,6089,216,3695,0.6197000000
55,9607,63,330,0.9638500000
56,9598,81,321,0.9638500000
57,6897,76,3027,0.6935000000
58,1984,175,7841,0.7928500000
59,5456,31,4513,0.5471500000
60,754,22,9224,0.9235000000
61,1280,92,8628,0.8674000000
62,9990,6,4,0.9993000000
63,3676,140,6184,0.6254000000
64,2278,44,7678,0.7700000000
65,435,81,9484,0.9524500000
66,5898,156,3946,0.5976000000
67,57,28,9915,0.9929000000
68,2466,154,7380,0.7457000000
69,1766,74,8160,0.8197000000
70,1314,86,8600,0.8643000000
71,9967,15,18,0.9974500000
72,4819,127,5054,0.5117500000
73,277,56,9667,0.9695000000
74,4550,136,5314,0.5382000000
75,98,22,9880,0.9891000000
76,9817,43,140,0.9838500000
77,423,56,9521,0.9549000000
78,1275,69,8656,0.8690500000
79,8381,78,1541,0.8420000000
80,1805,86,8109,0.8152000000
81,6561,126,3313,0.6624000000
82,12,8,9980,0.9984000000
83,6524,190,3286,0.6619000000
84,3690,94,6216,0.6263000000
85,9944,16,40,0.9952000000
86,6976,172,2852,0.7062000000
87,9909,23,68,0.9920500000
88,3137,56,6807,0.6835000000
89,488,121,9391,0.9451500000
90,909,57,9034,0.9062500000
91,7111,106,2783,0.7164000000
92,1846,236,7918,0.8036000000
93,9320,24,656,0.9332000000
94,6320,129,3551,0.6384500000
95,2017,32,7951,0.7967000000
96,444,74,9482,0.9519000000
97,5042,51,4907,0.5067500000
98,3314,50,6636,0.6661000000
99,761,14,9225,0.9232000000
100,9350,18,632,0.9359000000
101,6281,93,3626,0.6327500000
102,788,43,9169,0.9190500000
103,9042,56,902,0.9070000000
104,16,4,9980,0.9982000000
105,8341,83,1576,0.8382500000
106,2108,106,7786,0.7839000000
107,9845,16,139,0.9853000000
108,5467,126,4407,0.5530000000
109,6249,28,3723,0.6263000000
110,7297,19,2684,0.7306500000
111,7578,120,2302,0.7638000000
112,5107,105,4788,0.5159500000
113,5918,28,4054,0.5932000000
114,4865,31,5104,0.5119500000
115,3559,59,6382,0.6411500000
116,9993,3,4,0.9994500000
117,6918,73,3009,0.6954500000
118,2115,84,7801,0.7843000000
119,9270,60,670,0.9300000000
120,9502,131,367,0.9567500000
121,9846,27,127,0.9859500000
122,54,30,9916,0.9931000000
123,515,14,9471,0.9478000000
124,3132,105,6763,0.6815500000
125,82,26,9892,0.9905000000
126,69,11,9920,0.9925500000
127,242,23,9735,0.9746500000
128,1533,135,8332,0.8399500000
129,135,28,9837,0.9851000000
130,8846,101,1053,0.8896500000
131,9600,60,340,0.9630000000
132,105,6,9889,0.9892000000
133,9779,37,184,0.9797500000
134,9820,54,126,0.9847000000
135,7393,139,2468,0.7462500000
136,2419,122,7459,0.7520000000
137,5024,50,4926,0.5049000000
138,90,36,9874,0.9892000000
139,5811,266,3923,0.5944000000
140,7973,69,1958,0.8007500000
141,9931,12,57,0.9937000000
142,1141,177,8682,0.8770500000
143,6759,155,3086,0.6836500000
144,5034,69,4897,0.5068500000
145,9762,40,198,0.9782000000
146,1013,122,8865,0.8926000000
147,5632,75,4293,0.5669500000
148,1358,43,8599,0.8620500000
149,3749,118,6133,0.6192000000
150,8816,78,1106,0.8855000000
151,5899,204,3897,0.6001000000
152,3435,159,6406,0.6485500000
153,5097,99,4804,0.5146500000
154,3619,18,6363,0.6372000000
155,8271,56,1673,0.8299000000
156,22,15,9963,0.9970500000
157,9727,33,240,0.9743500000
158,5474,38,4488,0.5493000000
159,8958,23,1019,0.8969500000
160,8727,31,1242,0.8742500000
161,1735,47,8218,0.8241500000
162,4201,65,5734,0.5766500000
163,9965,13,22,0.9971500000
164,9583,115,302,0.9640500000
165,6958,194,2848,0.7055000000
166,4,5,9991,0.9993500000
167,3185,27,6788,0.6801500000
168,1897,80,8023,0.8063000000
169,5754,29,4217,0.5768500000
170,7564,127,2309,0.7627500000
171,9968,12,20,0.9974000000
172,9904,28,68,0.9918000000
173,8386,58,1556,0.8415000000
174,10000,0,0,1.0000000000
175,3927,148,5925,0.5999000000
176,6957,98,2945,0.7006000000
177,84,5,9911,0.9913500000
178,1478,81,8441,0.8481500000
179,373,20,9607,0.9617000000
180,2846,70,7084,0.7119000000
181,3358,22,6620,0.6631000000
182,9913,11,76,0.9918500000
183,8939,53,1008,0.8965500000
184,5405,145,4450,0.5477500000
185,2627,182,7191,0.7282000000
186,8207,52,1741,0.8233000000
187,1502,33,8465,0.8481500000
188,5840,134,4026,0.5907000000
189,4359,78,5563,0.5602000000
190,8834,91,1075,0.8879500000
191,2481,108,7411,0.7465000000
192,1266,27,8707,0.8720500000
193,6149,72,3779,0.6185000000
194,4564,281,5155,0.5295500000
195,895,134,8971,0.9038000000
196,9651,9,340,0.9655500000
197,8647,157,1196,0.8725500000
198,618,65,9317,0.9349500000
199,7277,23,2700,0.7288500000
200,206,82,9712,0.9753000000
201,8339,94,1567,0.8386000000
202,2361,72,7567,0.7603000000
203,8399,60,1541,0.8429000000
204,8767,121,1112,0.8827500000
205,1827,11,8162,0.8167500000
206,3095,125,6780,0.6842500000
207,3,2,9995,0.9996000000
208,7875,109,2016,0.7929500000
209,9997,2,1,0.9998000000
210,732,103,9165,0.9216500000
211,6104,173,3723,0.6190500000
212,2279,105,7616,0.7668500000
213,423,30,9547,0.9562000000
214,9689,4,307,0.9691000000
215,8431,107,1462,0.8484500000
216,7789,58,2153,0.7818000000
217,9824,9,167,0.9828500000
218,6042,89,3869,0.6086500000
