walk,num_returns,first_return,return_steps
0,15,6,6;8;28;30;32;42;44;46;52;66;68;76;84;88;90
1,5,2,2;4;14;24;26
2,9,32,32;46;54;56;58;60;62;66;70
3,6,2,2;4;6;46;48;50
4,8,2,2;10;52;54;56;58;60;66
5,2,2,2;10
6,11,2,2;4;6;32;38;40;42;44;46;86;94
7,1,12,12
8,1,2,2
9,9,8,8;12;16;52;54;56;60;62;68
10,3,2,2;10;12
11,8,10,10;12;14;16;22;28;30;32
12,14,2,2;4;8;14;24;26;40;42;44;46;50;52;56;98
13,6,2,2;4;10;12;44;74
14,14,2,2;4;8;14;16;18;32;34;60;62;64;82;84;88
15,8,18,18;20;32;34;40;42;44;46
16,7,2,2;4;6;8;10;44;62
17,5,4,4;24;34;36;38
18,5,6,6;10;12;16;92
19,10,4,4;8;10;12;14;16;80;90;98;100
20,0,-1,
21,5,2,2;4;30;42;48
22,2,10,10;20
23,1,2,2
24,0,-1,
25,3,10,10;78;80
26,14,4,4;48;50;54;56;62;68;78;80;82;84;86;96;100
27,7,2,2;12;14;18;22;24;26
28,2,6,6;8
29,2,2,2;4
30,24,10,10;12;14;16;18;20;22;24;26;28;32;40;44;58;60;76;80;88;90;92;94;96;98;100
31,6,2,2;8;10;12;14;16
32,0,-1,
33,3,2,2;4;6
34,3,2,2;4;6
35,7,2,2;4;16;18;20;50;76
36,1,2,2
37,3,2,2;4;8
38,8,2,2;4;6;8;10;18;20;22
39,4,2,2;4;42;50
40,10,2,2;28;34;36;40;42;44;46;50;56
41,14,2,2;4;6;8;16;24;28;30;52;54;56;66;72;76
42,1,2,2
43,6,4,4;58;62;96;98;100
44,4,2,2;4;6;52
45,3,4,4;6;8
46,4,2,2;6;92;96
47,5,4,4;8;48;50;58
48,2,8,8;10
49,7,2,2;6;14;18;20;22;76
50,6,12,12;14;18;20;22;36
51,8,42,42;46;64;66;68;72;78;80
52,10,2,2;4;8;10;76;78;80;84;92;94
53,9,6,6;8;14;20;24;26;82;92;94
54,1,4,4
55,3,2,2;10;14
56,10,10,10;12;14;22;24;38;40;46;52;54
57,0,-1,
58,6,2,2;4;6;22;24;30
59,4,2,2;26;28;40
60,1,4,4
61,22,2,2;4;6;8;16;18;20;22;24;26;32;34;50;60;62;80;86;90;92;96;98;100
62,5,2,2;8;10;50;76
63,2,56,56;60
64,3,4,4;8;14
65,16,4,4;6;8;10;12;24;38;40;42;44;58;64;92;96;98;100
66,2,2,2;38
67,18,2,2;28;32;34;40;44;54;58;60;62;64;66;68;78;80;82;84;100
68,2,2,2;8
69,1,2,2
70,4,2,2;4;10;12
71,11,6,6;8;10;12;14;16;18;20;22;24;26
72,13,30,30;32;34;74;76;78;80;82;86;88;90;94;96
73,3,4,4;6;30
74,4,2,2;4;10;20
75,11,2,2;4;8;12;22;24;26;28;30;34;38
76,5,4,4;6;10;12;14
77,9,2,2;4;8;20;28;92;94;96;98
78,5,2,2;4;84;86;88
79,11,2,2;12;16;18;20;22;60;72;74;96;98
80,2,2,2;4
81,13,4,4;6;8;10;12;14;22;24;56;60;62;78;80
82,0,-1,
83,16,4,4;6;8;30;38;42;44;46;48;50;56;60;62;64;66;68
84,5,4,4;6;8;12;24
85,4,2,2;78;94;100
86,8,2,2;6;8;12;18;20;22;24
87,0,-1,
88,13,10,10;18;22;24;26;30;32;34;48;60;92;94;96
89,1,2,2
90,16,2,2;4;6;18;20;22;26;46;56;58;60;62;64;70;78;80
91,0,-1,
92,9,2,2;6;50;52;54;88;94;96;100
93,13,22,22;24;28;30;40;62;66;68;70;76;78;80;82
94,7,8,8;10;12;16;18;26;28
95,12,20,20;22;24;26;28;32;48;52;56;58;60;62
96,22,6,6;8;10;12;54;56;58;64;66;68;74;76;78;80;82;84;86;92;94;96;98;100
97,14,2,2;4;6;12;14;20;22;26;28;42;44;58;60;62
98,7,2,2;4;14;16;18;22;26
99,0,-1,
100,12,2,2;4;6;8;26;36;44;46;52;54;76;84
101,3,4,4;8;10
102,3,6,6;20;24
103,12,2,2;4;16;18;20;22;30;34;36;38;40;56
104,0,-1,
105,3,28,28;30;38
106,10,2,2;52;54;56;72;76;78;90;92;100
