walk,sec0,sec1
0,30956,968697
1,394383,604215
2,18268,981575
3,853307,146033
4,154158,845024
5,816341,183395
6,73248,925402
7,657922,340391
8,110026,889476
9,616757,380782
10,459494,539007
11,999790,152
12,713165,286197
13,949620,50013
14,808128,191221
15,543133,455769
16,163698,834818
17,100386,899507
18,385153,613123
19,612592,385633
20,814080,185643
21,200615,798414
22,441167,557424
23,145477,853447
24,8196,991586
25,121108,878252
26,1077,998702
27,964149,35597
28,885610,113656
29,517397,480440
30,829534,169047
31,748736,250947
32,910219,88859
33,759698,239822
34,534835,464263
35,890009,108738
36,947088,52478
37,421776,577678
38,448217,551066
39,298378,700702
40,20,999973
41,597820,399831
42,660149,339642
43,199259,799362
44,471259,527532
45,51094,948855
46,285,999691
47,631419,365923
48,577845,420762
49,806628,192468
50,13912,985946
51,157313,840819
52,830271,167975
53,63633,935477
54,595764,402489
55,941289,58517
56,70351,929329
57,336819,661157
58,884423,114847
59,843796,155104
60,844795,154688
61,2242,997720
62,978972,20804
63,62065,937482
64,978661,20943
65,134832,864934
66,173779,825574
67,993746,6066
68,377343,621526
69,3260,996639
70,270795,727911
71,917137,82120
72,820245,178893
73,122832,876586
74,1268,998678
75,990862,8934
76,117256,882364
77,685416,312765
78,33352,966458
79,767500,230892
80,83486,915181
81,74475,924757
82,145146,853976
83,714573,284262
84,16199,983737
85,444156,554017
86,3929,995868
87,705058,294237
88,20996,978675
89,503019,495814
90,961987,37912
91,996547,3364
92,46697,953021
93,650460,348188
94,359519,639478
95,677655,320753
96,155459,843391
97,434800,563740
98,791047,206996
99,120544,878934
100,998203,1759
101,764963,233589
102,962527,37290
103,978189,21560
104,48332,950954
105,422149,574952
106,811266,186494
107,954080,45503
108,681128,317386
109,690084,309058
110,17950,981915
111,697563,300738
112,985358,14456
113,499334,500578
114,38973,960489
115,466771,532121
116,661167,336461
117,884431,114246
118,278205,720050
119,976201,23499
120,13310,986438
121,687815,309992
122,158635,840500
123,4182,995790
124,887292,112500
125,945447,53963
126,969532,30128
127,288740,709748
128,985050,14577
129,989905,9771
130,631800,367100
131,917294,82369
132,971337,28158
133,315210,683805
134,52995,946842
135,952107,47472
136,902663,97012
137,964949,34527
138,26805,972310
139,981684,17896
140,929597,68636
141,730699,268643
142,67881,931542
143,78858,920311
144,924304,74864
145,738126,261031
146,513954,484854
147,608211,391197
148,924421,75378
149,15111,984341
150,2206,997662
151,729659,268117
152,588959,410264
153,173158,826590
154,491929,507457
155,911426,87496
156,890705,108612
157,671223,327047
158,27309,972401
159,989641,10166
160,285853,713401
161,91016,907940
162,706461,292126
163,427272,571480
164,77259,921829
165,52408,946963
166,799958,198149
167,332610,666320
168,106876,892063
169,538639,459639
170,546816,451653
171,2188,997709
172,431660,567849
173,985132,14561
174,997987,1912
175,405371,593062
176,997580,2335
177,259871,738960
178,472593,525933
179,965973,33641
180,461847,537344
181,779763,219369
182,517873,481350
183,958896,40874
184,294185,704950
185,26500,973009
186,20,999964
187,629632,369146
188,913953,85339
189,295480,702220
190,363842,636046
191,870072,129014
192,21170,978274
193,456106,543154
194,188541,809319
195,989711,9783
196,378058,621277
197,759293,238483
198,113924,884472
199,157877,841248
200,441985,556708
201,988010,11911
202,314726,683684
203,946989,52386
204,52061,947634
205,999194,743
206,783967,214520
207,24628,975289
208,4644,995220
209,903242,95940
210,673180,325674
211,1,999997
212,317488,680566
213,129580,869863
214,179776,819689
215,474411,523513
216,708506,289662
217,142331,856673
218,950634,48872
219,879227,120573
220,930717,68470
221,16701,983259
222,995318,4306
223,424567,573965
224,55,999926
225,994605,5128
226,693523,305319
227,237128,762293
228,135035,863558
229,388756,610852
230,968549,31033
231,137761,861605
232,6924,992843
233,751212,247330
234,360616,636933
235,538104,461423
236,757673,241928
237,14647,985002
238,531487,466821
239,713191,286196
240,552966,446386
241,15026,984883
242,12927,986622
243,136013,863337
244,586561,411491
245,738656,260869
246,678630,320229
247,55685,943150
248,817255,181629
249,149414,849164
250,636705,362062
251,783856,215462
252,392659,606553
253,923420,75898
254,74044,925391
255,980081,19746
256,965298,34493
257,785077,213877
258,961664,38023
259,714221,284688
260,598006,400146
261,833856,165757
262,889241,110190
263,805313,192824
264,224145,775389
265,209994,788758
266,975150,23996
267,849273,150474
268,557205,442181
269,147374,851502
270,864381,135048
271,981654,18068
272,955738,43525
273,105657,893481
274,187814,811171
275,638022,360269
276,177974,821197
277,248208,751384
278,92239,907092
279,917653,81500
280,849321,149468
281,646440,351769
282,23418,976517
283,59527,940114
284,69380,930310
285,1513,998402
286,10632,989026
287,18996,980399
288,112064,886863
289,305798,693072
290,171380,827292
291,87737,911598
292,485459,513385
293,16815,982923
294,341258,657841
295,270716,728575
296,928789,70423
297,357164,642409
298,39311,959808
299,921602,78068
300,32173,967447
301,697360,301924
302,960719,38803
303,894764,104820
304,29621,970155
305,852962,145113
306,868129,130666
307,76268,923518
308,811166,187673
309,913600,85795
310,656700,341851
311,959568,39815
312,611737,388179
313,155931,843055
314,46461,952718
315,177811,821399
316,151341,847960
317,936915,62859
318,337837,660855
319,365681,634088
320,541939,456897
321,992987,6791
322,25238,974433
323,991632,8218
324,774175,225265
325,11904,987603
326,979407,20152
327,646827,351146
328,234996,764596
329,424441,574448
330,63701,935933
331,666740,331738
332,754626,243915
333,250048,748369
334,990459,9431
335,11074,988695
336,377326,621951
337,3786,996145
338,228056,770940
339,47520,952152
340,61767,937972
341,539625,459318
342,1452,998392
343,840575,158457
344,957807,41774
345,40157,959351
346,453957,544684
347,950,998963
348,513184,485334
349,59457,939683
350,168550,829931
351,247978,751296
352,43195,956070
353,339208,659470
354,686902,312099
355,580097,417805
356,785446,213593
357,231480,767553
358,966656,32820
359,27899,971321
360,707361,290822
361,127178,872176
362,7706,992159
363,984988,14467
364,336617,662148
365,616017,383030
366,104496,895301
367,467604,531948
368,887944,110989
369,342286,656928
370,304880,693936
371,664195,333741
372,898324,101212
373,811604,188164
374,954916,44450
375,864631,134925
376,974973,24538
377,511859,486381
378,24493,975043
379,80284,918765
380,122631,876122
381,200649,798620
382,999854,113
383,275410,723663
384,988904,10790
385,841009,157681
386,767734,231905
387,923879,75835
388,987138,12519
389,52230,947187
390,128122,870155
391,615025,384244
392,150465,848593
393,685108,313241
394,248815,750786
395,171720,827407
396,313415,685465
397,997813,2056
398,88152,910698
399,115780,883432
400,3397,996414
401,911218,88118
402,1117,998801
403,278857,720087
404,166228,833043
405,321527,676282
406,778745,220431
407,29997,969338
408,993639,6235
409,136463,862275
410,216814,781893
411,223099,775817
412,278575,719767
413,37323,962190
414,141006,858326
415,4555,995140
416,682712,317161
417,339073,659343
418,998412,1474
419,658051,340970
420,461207,538726
421,978544,20986
422,968541,31020
423,810589,188671
424,100711,898937
425,16490,983355
426,32193,967126
427,382767,616447
428,990495,9406
429,311537,687467
430,955270,44113
431,89763,908916
432,549,999414
433,2835,997135
434,362731,635860
435,196715,802561
436,775904,222860
437,999967,17
438,772052,226356
439,999999,0
440,968692,30998
441,694225,303347
442,17,999969
443,82991,916495
444,565185,432595
445,470430,528273
446,826061,172515
447,242284,756186
448,191926,807106
449,71767,926908
450,123198,876250
451,892273,107031
452,510491,487959
453,641094,357619
454,849531,149994
455,881430,117830
456,526085,472151
457,899902,99006
458,326412,671363
459,713189,285851
460,205744,793494
461,620901,377618
462,698306,301004
463,1426,998500
464,293597,705073
465,561571,436989
466,998678,1285
467,12995,986462
468,951712,47471
469,278536,720967
470,970905,28931
471,156011,842189
472,752602,246590
473,83776,914955
474,316059,683717
475,736785,262389
476,913913,85497
477,980272,19290
478,65861,933365
479,976856,22954
480,466291,533032
481,949308,50294
482,291133,708540
483,902550,97317
484,393879,605595
485,880821,118343
486,48554,951298
487,883989,114792
488,402309,596803
489,913104,86304
490,54931,944578
491,998550,1374
492,682038,316100
493,603962,395558
494,961145,38674
495,982799,17045
496,739377,259739
497,754933,243454
498,693839,305131
499,229459,768324
500,760008,239290
501,29669,970110
502,56647,943253
503,653295,345789
504,796907,201149
505,645228,353225
506,999217,681
507,901704,97834
508,162657,836362
509,625788,373067
510,805001,193843
511,350711,648955
512,803753,195753
513,8128,991457
514,878595,120546
515,425186,573335
516,941108,58352
517,780853,218698
518,279923,718253
519,945742,53732
520,999291,630
521,417573,580800
522,59520,940117
523,437151,561222
524,973908,25748
525,316236,682949
526,6334,993536
527,278951,719828
528,80717,918811
529,24484,974776
530,988975,10941
531,1399,998569
532,57981,941949
533,63723,935810
534,492865,506203
535,652051,346421
536,23131,976797
537,119171,880191
538,850860,148342
539,399112,598113
540,925543,73084
541,641002,358537
542,238137,761107
543,124513,874926
544,850247,149691
545,441804,556119
546,960436,38851
547,901375,98407
548,979758,19971
549,885604,114280
550,254846,743650
551,916565,82490
552,306531,692173
553,939431,60378
554,275816,722783
555,647628,351048
556,968169,31142
557,48398,951242
558,803666,195605
559,956225,43342
560,909376,90323
561,10361,989382
562,200131,799575
563,20052,979776
564,994401,5504
565,801782,197166
566,990440,9153
567,998294,1526
568,22264,976871
569,648294,351397
570,120878,877767
571,16162,983413
572,98512,900964
573,990530,9203
574,92884,906597
575,294150,704761
576,177104,821535
577,228715,771073
578,956527,42999
579,777683,221480
580,682689,314672
581,621243,377847
582,526123,472309
583,881084,118224
584,159055,840402
585,212974,784858
586,43,999950
587,594525,404627
588,912545,86982
589,163,999832
590,736239,263314
591,13065,986572
592,192838,805133
593,580666,417857
594,223399,775683
595,50309,948967
596,102582,896755
597,735264,263967
598,531631,467817
599,336642,662393
600,511438,487881
601,884722,113560
602,9812,989982
603,163636,835305
604,751419,248167
605,4079,995763
606,774339,224970
607,996068,3764
608,912151,87244
609,939251,59806
610,283343,715192
611,868960,129910
612,13970,985653
613,40937,958680
614,380998,618768
615,855745,143533
616,984838,14669
617,429162,568668
618,347416,651644
619,743444,255651
620,2814,997144
621,889867,109623
622,977079,22530
623,347872,650372
624,170472,829034
625,110403,888520
626,14954,984626
627,224,999699
628,227188,772172
629,833462,165605
630,638229,361159
631,139430,860242
632,283711,714794
633,699623,299305
634,553367,445222
635,258937,740560
636,369908,629055
637,620721,378293
638,376196,622352
639,965835,33927
640,323018,676409
641,979480,20362
642,552770,445898
643,152559,845998
644,988747,11192
645,994494,5442
646,36144,963461
647,74550,924957
648,92,999880
649,549794,448412
650,965596,33512
651,67183,932381
652,912330,87487
653,5142,994689
654,646369,352049
655,717324,281319
656,833375,166026
657,974207,25515
658,682647,316133
659,993887,5901
660,660026,338432
661,162772,836187
662,888030,111349
663,916671,82691
664,54,999929
665,17699,981937
666,617636,380862
667,45995,953755
668,313088,684931
669,997068,2806
670,279501,719112
671,532337,467026
672,50211,949310
673,18529,981322
674,935797,63629
675,751480,246574
676,84018,915330
677,11157,988665
678,117677,881818
679,567397,431429
680,62042,936895
681,86425,912622
682,323722,674980
683,419992,578992
684,703707,294934
685,964211,35697
686,998853,1042
687,401306,597422
688,999108,828
689,346333,652833
690,91394,907936
691,1511,998387
692,151954,847032
693,770623,229147
694,559857,439267
695,778056,221027
696,526338,472900
697,12207,987568
698,983034,16306
699,807332,192344
700,713106,284396
701,258323,740978
702,20689,978800
703,920143,79027
704,900828,98557
705,633450,365768
706,975663,24232
707,768695,230123
708,294419,704797
709,445979,552976
710,769866,229698
711,987904,11560
712,536303,463289
713,150708,848306
714,160122,838605
715,243888,755868
716,855546,144187
717,999787,174
718,26266,972933
719,994824,4786
720,479467,517653
721,207761,792105
722,791045,207882
723,147338,852541
724,990444,9407
725,432312,566907
726,196064,802257
727,360553,638127
728,986242,13135
729,557107,442237
730,772852,226485
731,527332,472232
732,733889,264790
733,835392,163278
734,872234,126949
735,195062,804371
736,134856,864263
737,857770,141461
738,275,999685
739,72710,926200
740,987773,12135
741,833400,165767
742,622897,375649
743,6180,993567
744,547979,451023
745,266,999722
746,953817,45256
747,739576,259025
748,774981,222848
749,147590,850190
750,853450,146202
751,6725,993016
752,961632,37992
753,114054,885666
754,583996,415113
755,207293,792224
756,990063,9570
757,488058,510024
758,208926,789358
759,51251,948354
760,233540,765852
761,563541,436129
762,512392,485848
763,507685,490759
764,994814,4998
765,6495,993111
766,958981,40655
767,203662,794022
768,885093,114819
769,219596,780203
770,10745,989207
771,301249,696940
772,1620,998228
773,37973,961255
774,231137,767024
775,102658,897064
776,392316,606561
777,772145,226701
778,42008,957698
779,957559,41375
780,522595,474789
781,35965,963525
782,128416,870733
783,488948,509851
784,436181,561603
785,11530,988251
786,219834,778775
787,74782,924203
788,894631,104316
789,632494,366587
790,396353,603366
791,3397,996372
792,77900,921740
793,859394,140164
794,998255,1652
795,867221,132120
796,998691,1264
797,998471,1476
798,730224,269543
799,567364,430486
800,698324,301453
801,199742,799088
802,176448,823353
