walk,sec0,sec1,sec2,sec3
0,8,48,59658,40158
1,35618,0,16241,47779
2,4246,831,90253,4272
3,3072,6734,74405,15411
4,39310,57527,2263,525
5,897,20478,4319,73920
6,660,9831,20036,68759
7,15306,50,83640,766
8,53866,36592,6181,2552
9,28362,49774,1206,19760
10,260,43092,3346,52606
11,11845,61427,546,25602
12,643,1221,54782,43039
13,51845,25761,5291,16115
14,41749,2573,47131,8285
15,438,10000,21023,68082
16,6483,71144,1463,20456
17,85098,9850,4076,428
18,260,5,33620,65679
19,975,156,96431,2260
20,5019,93296,1488,2
21,20818,1,75241,3698
22,63855,786,34699,310
23,64645,1990,29604,2925
24,17767,3562,47791,30143
25,11091,80365,8038,278
26,4,35610,11,63836
27,1555,82836,0,15281
28,31555,1783,64911,800
29,4526,28071,6377,60234
30,67039,25304,1059,6273
31,1324,64043,3081,30999
32,37437,51929,0,10227
33,18678,79286,595,759
34,1607,15606,193,82412
35,2022,89445,1621,6597
36,129,54180,18314,26714
37,31643,1170,67036,2
38,31980,15855,50653,972
39,15772,37377,11304,34762
40,87650,7305,889,3900
41,55599,5917,31282,6916
42,14403,85515,0,9
43,4,4124,5719,89665
44,9067,38041,38572,13417
45,90100,8462,513,611
46,5,94070,205,5395
47,28127,4197,43696,23246
48,6946,1078,80888,10369
49,4311,53,95011,330
50,48931,36313,8310,5453
51,1466,29,94061,4114
52,407,47844,11096,39658
53,9574,44107,11071,33893
54,51756,42965,4440,1
55,95809,327,3140,209
56,58729,6782,30062,3904
57,3587,297,90070,5420
58,9658,3255,85033,1612
59,57798,15465,12414,13747
60,51567,27397,15899,4250
61,1750,12151,108,85607
62,72243,22196,3779,1181
63,88917,4231,6218,302
64,1375,3018,15224,80126
65,100,0,48446,50616
66,28133,70055,1008,108
67,15729,23302,52962,7148
68,76244,12730,2357,7996
69,26994,11865,59559,1208
70,316,341,7281,91556
71,79208,13394,4604,2477
72,14549,326,69913,14440
73,87746,668,9748,1301
74,52143,39118,59,8381
75,6,7418,77244,14949
76,545,23280,15520,59642
77,703,69699,3825,25412
78,2295,53653,13065,30592
79,97666,1791,422,0
80,326,611,79131,19356
81,1070,204,23550,74753
82,60507,1810,28331,8057
83,40278,7943,33041,18040
84,776,255,98502,317
85,5196,6372,84038,4224
86,4,34656,45,64885
87,51472,48379,0,0
88,2991,64463,3821,28276
89,718,4520,69,94634
90,446,14,99298,139
91,76214,7659,14370,935
92,17367,952,80000,1222
93,88680,5069,5736,358
94,0,2,73643,26237
95,4517,5404,396,89391
96,35192,64411,14,27
97,74495,5,24789,55
98,82358,254,17267,0
99,47696,12725,17145,21413
100,68732,4071,19501,7127
101,14771,22493,1491,60433
102,1,3,97957,1915
103,47386,6386,45645,108
104,26679,20384,17185,34641
105,251,2269,19900,76966
106,34667,29459,15597,19311
107,742,0,82847,16263
108,82714,2091,7012,7847
109,578,16290,1865,80877
110,46973,2217,48994,1477
111,18263,64339,275,16349
112,954,10374,64352,23551
113,89871,6217,3575,35
114,1,4455,17,95331
115,38023,55204,5411,471
116,20703,28716,26479,23649
117,8663,28150,42669,19597
118,0,28266,9704,61808
119,895,6976,159,91762
120,30044,14815,46485,7741
121,25363,3088,64804,6278
122,49567,6054,35527,8130
123,0,877,3066,95824
124,6735,14122,24654,54060
125,38851,28875,13507,17817
126,2404,48440,3295,44876
127,81693,1168,13663,3267
128,2351,31005,1707,64385
129,20938,78396,277,29
130,16,29,10092,89526
131,73378,26379,0,9
132,8958,15,90784,0
133,474,3618,632,94860
134,13025,86229,105,520
135,81527,17850,284,80
136,48680,5903,43767,1111
137,20651,78840,0,155
138,530,84788,1959,12264
139,6910,89556,1113,1851
140,13038,86630,82,24
141,95890,3552,1,382
142,1022,98334,7,522
143,86151,9101,4237,62
144,15315,2,64212,19937
145,60021,41,39673,7
146,994,71,94403,4287
147,45563,47199,6714,19
148,587,15996,12012,70873
149,92980,3020,2898,763
150,9920,89165,665,0
151,1585,20595,16178,61268
152,4087,70734,464,23889
153,87344,11746,669,0
154,43313,41185,9437,5196
155,23245,5133,57091,13381
156,30120,43633,1393,24101
157,50536,48417,51,235
158,312,3065,10281,85569
159,43990,0,40653,14585
160,56864,15119,19465,8102
161,94245,410,4427,628
162,13379,65804,6052,14286
163,49671,4764,37137,7890
164,1928,28569,25090,43457
165,15425,35607,40447,7968
166,26173,64650,69,8354
167,6476,32931,10342,49501
168,26947,8,66545,6243
169,808,489,573,97974
170,2530,75117,1660,20241
171,10362,88929,560,0
172,37498,9172,18699,34025
173,678,474,27050,71091
174,0,37345,178,62012
175,1915,50612,330,46737
176,15718,3670,77698,2554
177,1497,23708,2251,72057
178,86782,6743,4795,994
179,1,2346,8339,89162
180,0,0,99894,77
181,8628,10831,31635,48202
182,47438,17999,33754,91
183,6237,83374,1,10073
184,136,55844,3640,40084
185,4974,19048,13573,61909
186,768,29835,3578,65083
187,43936,55267,5,1
188,19355,10588,45098,24423
189,13851,50560,13780,20965
190,1141,69284,1174,27651
191,1311,861,43691,53703
192,4349,55960,15796,23296
193,25,2544,49505,47698
194,199,69461,5480,24144
195,75,1991,81083,16652
196,400,1531,337,97583
197,3723,340,36116,59433
198,2093,0,95328,2208
199,0,22648,163,76906
200,8307,26120,41056,23183
201,7328,3082,38521,50347
202,23000,0,55693,20690
203,32555,30780,5737,29870
204,0,1,86911,12854
205,76818,18558,3240,1071
206,44798,54803,8,0
207,79342,269,16654,3078
208,1392,5743,9290,83210
209,60308,1830,37558,30
210,46408,5951,46912,371
211,52035,7625,31597,8045
212,4916,77736,27,16740
213,3095,34603,758,60743
214,25612,48415,1125,23842
215,0,98939,0,976
216,35115,58873,3770,1585
217,37277,48917,7029,6058
218,55981,5440,17328,20513
219,54815,39705,4,5326
220,90579,1782,7363,12
221,64298,5065,28542,1319
222,2262,23430,15185,58227
223,250,2165,96788,724
224,51,0,36278,63333
225,2,1128,69865,28338
226,8387,3636,85803,1690
227,53584,437,44973,711
228,6,9945,59887,29865
229,5046,662,34313,59368
230,410,88857,288,10168
