walk,sec0,sec1,sec2,sec3,sec4,sec5,sec6,sec7
0,0,0,0,0,2010,2762,3522,1407
1,1231,1715,3,6911,0,0,0,0
2,4359,161,69,0,4710,342,22,154
3,1372,1375,151,0,399,285,4308,1903
4,627,0,5,1,7424,1305,39,391
5,3695,1220,865,3113,9,24,210,565
6,1791,370,7583,0,43,14,12,1
7,3117,3662,217,0,0,2805,0,0
8,0,0,0,0,53,1652,4319,3835
9,1151,19,374,1,2829,31,5192,163
10,0,0,1,0,305,447,3018,5944
11,1958,3066,769,2571,4,431,485,345
12,105,251,2968,337,261,131,1959,3560
13,6605,38,626,44,1049,447,329,593
14,19,4,31,8,4181,194,5126,249
15,562,79,47,0,404,536,530,7596
16,284,22,2592,41,6203,89,595,17
17,3093,1430,604,142,3707,80,240,312
18,43,12,2938,6072,22,26,564,89
19,4124,1603,683,3326,1,0,5,0
20,593,1352,6869,895,0,56,0,0
21,260,1540,3082,3478,351,362,185,431
22,0,846,101,3560,12,50,3,5253
23,11,5,4138,3375,293,168,1320,345
24,5148,442,3135,977,50,50,46,3
25,1000,1406,591,636,690,4207,1240,2
26,448,0,820,251,1389,0,3782,2989
27,0,91,126,2584,0,0,136,6769
28,23,21,5508,2987,0,0,201,884
29,3441,0,4504,0,104,0,1657,1
30,2217,1095,528,1623,1506,972,1142,508
31,3073,3593,0,47,406,2509,0,83
32,0,1,153,1,160,51,5593,3810
33,4,1145,3,926,0,267,428,7041
34,2984,115,1244,5454,0,0,1,5
35,2350,641,3953,276,821,238,1275,2
36,537,809,22,0,5998,2267,195,0
37,2784,309,2323,1,3197,1027,167,0
38,1080,403,142,7414,184,420,0,222
39,56,4525,0,3783,55,1240,1,101
40,1,58,56,2086,0,2946,0,4731
41,80,363,194,110,5379,3462,277,0
42,965,8462,258,39,67,8,49,0
43,70,3152,32,547,0,3861,0,2165
44,6,0,0,0,8339,707,673,152
45,41,296,7963,692,0,0,846,0
46,1797,1855,86,71,523,5315,0,0
47,0,0,240,304,20,3,8814,485
48,4120,228,4083,458,12,0,240,548
49,2,1490,539,1717,18,4113,44,1800
50,1029,0,224,21,6642,8,1859,21
51,1654,5308,183,0,1032,1455,8,163
52,3619,467,1378,2730,177,2,249,1149
53,379,544,3066,1560,53,1359,1704,917
54,1947,7035,23,0,180,673,0,0
55,5748,791,1836,1399,0,111,0,0
56,3751,342,4952,66,65,1,525,67
57,6029,451,64,0,1294,1906,0,18
58,0,176,0,0,4849,3715,328,761
59,0,0,9,1,28,6209,1728,1861
60,2,936,0,6604,0,56,0,2068
61,2548,791,383,345,1428,1010,446,2723
62,10,6194,0,0,3,3162,0,547
63,1,12,0,0,2915,4532,2225,138
64,83,4923,0,4767,46,30,0,0
65,568,1023,129,133,744,4801,852,1382
66,675,8594,168,1,1,433,1,0
67,12,1388,636,6304,6,29,256,1147
68,174,129,27,0,8639,197,670,0
69,0,3919,125,3949,0,198,734,877
70,24,1405,25,27,545,5494,0,2323
71,56,371,5,5376,48,709,84,3145
72,5805,2872,803,26,3,159,2,56
73,0,8,0,0,2242,34,7329,320
74,675,1550,4,21,1838,5456,2,4
75,0,244,4876,3645,1,70,1024,20
76,396,816,7142,1303,2,64,0,24
77,41,30,378,1933,163,4935,231,2049
78,37,120,0,6981,0,1124,0,1650
79,0,6,0,3572,8,4682,0,1467
80,0,1,14,5551,14,10,627,3441
81,0,2585,0,3755,801,2724,1,0
82,1,18,5396,4287,0,46,0,77
83,0,12,1184,2110,166,87,4725,1482
84,4260,223,360,187,4583,3,49,29
85,972,220,582,738,3032,2114,206,1739
86,0,0,0,0,2057,7053,123,628
87,0,11,273,540,194,3,6646,2127
88,0,0,7693,6,205,28,375,1630
89,580,320,2105,5959,688,59,31,4
90,58,1075,1054,35,269,2706,423,4144
91,418,0,0,5,1820,2154,1567,3867
92,0,1,17,384,6825,398,1067,1153
93,66,57,7648,65,99,172,1479,253
94,32,13,0,0,8018,195,1450,101
95,31,5527,16,224,0,4026,0,75
96,0,62,69,132,3296,774,4942,446
97,372,37,4885,2932,660,389,415,0
98,96,832,7,1,203,8591,16,83
99,1457,3080,119,166,3676,176,1030,0
100,4,0,533,0,0,0,9429,0
101,1136,7000,438,376,57,27,379,363
102,0,45,5269,585,0,0,885,3040
103,82,2963,0,0,1366,5163,0,0
104,2253,1475,41,548,451,475,0,4511
105,0,415,403,1804,3720,1509,1154,664
106,0,0,4321,1524,0,23,134,3864
107,3,0,1,0,1252,4331,1722,2534
108,1,8,0,11,1072,2437,1619,4630
109,6229,1069,67,0,2210,214,10,0
110,3153,4358,1,0,641,1437,65,71
111,335,0,5264,0,5,2,4293,0
112,1,26,164,1011,0,2812,1,5768
113,34,1,535,3892,87,4,1008,4226
114,146,82,39,7252,24,806,59,1444
115,1,1829,0,6475,9,425,0,1008
116,356,39,116,0,2159,1815,2311,2792
117,4,54,24,7638,1,50,245,1867
118,294,333,78,7,235,6384,0,2399
119,762,96,6322,959,325,0,1305,0
120,1029,73,7781,238,0,0,672,0
121,284,1911,1025,6419,79,16,9,41
122,477,2,1772,0,2827,82,4581,0
123,946,90,3,8,6867,1904,0,0
124,51,324,955,345,161,60,5094,2807
125,15,1829,13,39,5,7765,2,192
126,260,4,317,0,8587,519,110,0
127,1119,1290,134,9,1623,4574,759,23
128,0,171,0,7,0,5213,0,4547
129,140,1406,623,631,1238,5540,0,179
130,226,743,264,1107,0,5765,15,1617
131,26,0,101,2,7107,514,1918,114
132,1551,1336,20,4025,242,0,0,2681
133,1321,7462,265,486,5,208,6,26
134,556,304,0,15,3724,5279,0,8
135,9231,103,154,158,0,262,0,18
