walk,sec0,sec1,sec2,sec3,sec4,sec5,sec6,sec7,sec8,sec9,sec10,sec11,sec12,sec13,sec14,sec15
0,0,0,0,0,1,31,0,0,0,0,0,0,0,55,0,0
1,0,0,0,39,3,0,14,28,0,0,0,1,0,0,0,0
2,1,0,1,2,0,0,0,1,0,0,36,9,0,0,7,12
3,0,0,0,0,6,0,57,0,0,0,0,0,6,7,2,2
4,5,1,0,0,0,0,0,0,1,0,43,9,1,0,14,3
5,0,21,0,0,3,42,0,0,0,1,0,0,2,2,0,0
6,0,1,0,0,15,5,1,0,3,0,0,0,35,4,11,1
7,23,26,5,18,6,0,1,1,0,0,0,0,0,0,0,0
8,0,0,0,0,2,21,7,31,0,0,0,0,2,0,10,4
9,0,0,0,0,3,3,0,2,0,0,9,13,7,5,0,27
10,0,29,3,3,0,28,0,6,0,1,2,3,0,0,0,0
11,13,0,31,15,0,6,1,6,5,0,0,0,0,0,0,0
12,0,0,1,0,0,0,0,0,3,0,20,0,18,1,35,0
13,1,0,3,0,0,0,0,0,38,0,7,0,30,0,0,0
14,0,1,0,2,0,0,0,0,0,0,2,77,0,0,0,2
15,0,0,0,0,0,0,0,0,0,0,5,6,0,0,75,6
16,0,3,0,0,4,7,1,1,6,39,0,0,1,9,0,1
17,2,0,3,0,13,30,12,0,0,0,0,0,0,0,0,0
18,40,3,0,0,3,0,0,0,13,0,0,0,15,0,1,0
19,10,0,9,8,8,0,22,6,1,0,0,0,0,0,1,1
20,56,0,5,0,18,0,4,0,0,0,0,0,0,0,0,0
21,0,0,0,1,0,0,0,4,0,0,22,31,0,0,6,12
22,0,0,1,0,1,0,2,0,18,0,42,0,0,0,11,0
23,0,0,9,21,0,0,0,3,0,0,1,37,0,0,0,5
24,1,0,15,1,12,0,33,13,0,0,0,0,1,0,0,0
25,17,0,16,0,0,0,29,0,1,0,4,0,1,0,2,0
26,26,0,0,0,30,11,0,0,0,4,0,0,0,1,0,0
27,0,0,0,0,0,0,0,0,14,0,25,1,6,0,34,0
28,0,0,1,0,0,0,1,0,0,0,0,0,10,0,17,59
29,23,12,0,2,0,1,0,2,23,13,0,1,0,0,0,1
30,0,0,0,0,3,2,0,1,0,0,0,0,40,6,35,0
31,0,0,11,6,0,1,2,8,1,0,30,0,1,3,5,1
32,0,0,0,0,0,0,0,0,47,5,20,2,4,1,1,0
33,0,1,0,15,0,6,0,11,0,9,0,25,0,6,0,0
34,0,0,0,0,0,0,69,2,0,0,0,0,0,0,14,3
35,0,40,0,9,0,15,0,4,0,0,0,1,0,0,0,0
36,0,0,3,0,1,0,3,0,37,0,4,0,27,0,4,0
37,0,2,21,24,0,10,0,1,2,2,3,11,0,1,0,0
38,0,0,0,0,1,0,89,0,0,0,0,0,0,0,1,1
39,1,9,3,0,0,7,5,24,1,8,0,0,0,8,2,0
40,1,13,2,4,0,0,1,0,0,3,0,4,2,18,0,25
41,16,2,10,35,1,2,1,6,0,0,0,0,0,0,0,0
42,0,0,0,0,1,5,0,18,0,0,1,1,4,1,1,37
43,0,0,0,0,0,0,0,0,0,0,9,57,0,0,3,14
44,0,1,0,0,0,2,2,6,0,22,0,10,0,12,0,3
45,0,0,1,2,0,10,0,77,0,1,0,0,0,0,0,0
46,0,0,0,0,0,3,1,3,0,49,0,2,1,3,0,13
